CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
 85    0      0   21 21:21:21:2       yes 4575.1641 413.4190 1433.1840
 86    0      0   22 22:22:22:2       yes 4575.1641 413.4190 1433.1840
 87    0      0   23 23:23:23:2       yes 4575.1641 413.4190 1433.1840
 88    0      0   24 24:24:24:3       yes 4575.1641 413.4190 1433.1840
 89    0      0   25 25:25:25:3       yes 4575.1641 413.4190 1433.1840
 90    0      0   26 26:26:26:3       yes 4575.1641 413.4190 1433.1840
 91    0      0   27 27:27:27:3       yes 4575.1641 413.4190 1433.1840
 92    0      0   28 28:28:28:3       yes 4575.1641 413.4190 1433.1840
 93    0      0   29 29:29:29:3       yes 4575.1641 413.4190 1433.1840
 94    0      0   30 30:30:30:3       yes 4575.1641 413.4190 1433.1840
 95    0      0   31 31:31:31:3       yes 4575.1641 413.4190 3535.9260
 96    0      0   32 32:32:32:4       yes 4575.1641 413.4190 1433.1840
 97    0      0   33 33:33:33:4       yes 4575.1641 413.4190 3992.6111
 98    0      0   34 34:34:34:4       yes 4575.1641 413.4190 3987.6770
 99    0      0   35 35:35:35:4       yes 4575.1641 413.4190 3184.9890
100    0      0   36 36:36:36:4       yes 4575.1641 413.4190 1433.1840
101    0      0   37 37:37:37:4       yes 4575.1641 413.4190 1433.1840
102    0      0   38 38:38:38:4       yes 4575.1641 413.4190 1433.1840
103    0      0   39 39:39:39:4       yes 4575.1641 413.4190 1433.1840
104    0      0   40 40:40:40:5       yes 4575.1641 413.4190 1433.1840
105    0      0   41 41:41:41:5       yes 4575.1641 413.4190 1433.1840
106    0      0   42 42:42:42:5       yes 4575.1641 413.4190 1433.1840
107    0      0   43 43:43:43:5       yes 4575.1641 413.4190 1433.1840
108    0      0   44 44:44:44:5       yes 4575.1641 413.4190 1433.1840
109    0      0   45 45:45:45:5       yes 4575.1641 413.4190 1433.1840
110    0      0   46 46:46:46:5       yes 4575.1641 413.4190 1433.1840
111    0      0   47 47:47:47:5       yes 4575.1641 413.4190 1433.1840
112    0      0   48 48:48:48:6       yes 4575.1641 413.4190 1433.1840
113    0      0   49 49:49:49:6       yes 4575.1641 413.4190 2669.1299
114    0      0   50 50:50:50:6       yes 4575.1641 413.4190 2668.1589
115    0      0   51 51:51:51:6       yes 4575.1641 413.4190 1433.1840
116    0      0   52 52:52:52:6       yes 4575.1641 413.4190 1433.1840
117    0      0   53 53:53:53:6       yes 4575.1641 413.4190 1433.1840
118    0      0   54 54:54:54:6       yes 4575.1641 413.4190 1433.1840
119    0      0   55 55:55:55:6       yes 4575.1641 413.4190 1433.1840
120    0      0   56 56:56:56:7       yes 4575.1641 413.4190 1433.1840
121    0      0   57 57:57:57:7       yes 4575.1641 413.4190 1433.1840
122    0      0   58 58:58:58:7       yes 4575.1641 413.4190 1433.1840
123    0      0   59 59:59:59:7       yes 4575.1641 413.4190 1433.1840
124    0      0   60 60:60:60:7       yes 4575.1641 413.4190 1433.1840
125    0      0   61 61:61:61:7       yes 4575.1641 413.4190 1433.1840
126    0      0   62 62:62:62:7       yes 4575.1641 413.4190 3188.3420
127    0      0   63 63:63:63:7       yes 4575.1641 413.4190 1433.1840
